"SampleNumber","CAN","CAN Raw Data","CAN Bit Sequence","CANH"
"0","","","","0"
"51","","","","1"
"300","","","","0"
"351","","","","1"
"600","","","","0"
"651","","","","1"
"900","","","","0"
"951","","","","1"
"1200","","","","0"
"1251","","","","1"
"1500","","","","0"
"1551","","","","1"
"1800","","","","0"
"1851","","","","1"
"2050","","","","0"
"2101","","","","1"
"2350","","","","0"
"2401","","","","1"
"2650","","","","0"
"2700","","","","1"
"2950","","","","0"
"3000","","","","1"
"3200","","","","0"
"3300","","","","1"
"3550","","","","0"
"3600","","","","1"
"3650","","","","0"
"3700","","","","1"
"3750","","","","0"
"3850","","","","1"
"3900","","","","0"
"4000","","","","1"
"4250","","","","0"
"4400","","","","1"
"4450","","","","0"
"5800","D:268522852","0","1","1"
"5850","","1","2","0"
"5900","","0","3","1"
"5950","","0","4","1"
"6000","","0","5","1"
"6050","","0","6","1"
"6100","","0","7","1"
"6150","","S","S","0"
"6200","","0","8","1"
"6250","","0","9","1"
"6300","","0","10","1"
"6350","","0","11","1"
"6400","","0","12","1"
"6450","","S","S","0"
"6500","","1","13","0"
"6550","","1","14","0"
"6600","","0","15","1"
"6650","","1","16","0"
"6700","","0","17","1"
"6750","","1","18","0"
"6800","","0","19","1"
"6850","","1","20","0"
"6900","","0","21","1"
"6950","","1","22","0"
"7000","","0","23","1"
"7050","","1","24","0"
"7100","","0","25","1"
"7150","","1","26","0"
"7200","","1","27","0"
"7250","","0","28","1"
"7300","","0","29","1"
"7350","","1","30","0"
"7400","","0","31","1"
"7450","","0","32","1"
"7500","","0","33","1"
"7550","","0","34","1"
"7600","","0","35","1"
"7650","","S","S","0"
"7700","L:8","1","36","0"
"7750","","0","37","1"
"7800","","0","38","1"
"7850","","0","39","1"
"7900","000","0","40","1"
"7950","","0","41","1"
"8000","","S","S","0"
"8050","","0","42","1"
"8100","","0","43","1"
"8150","","0","44","1"
"8200","","0","45","1"
"8250","","0","46","1"
"8300","","S","S","0"
"8350","","0","47","1"
"8400","000","0","48","1"
"8450","","0","49","1"
"8500","","0","50","1"
"8550","","0","51","1"
"8600","","S","S","0"
"8650","","0","52","1"
"8700","","0","53","1"
"8750","","0","54","1"
"8800","","0","55","1"
"8850","000","0","56","1"
"8900","","S","S","0"
"8950","","0","57","1"
"9000","","0","58","1"
"9050","","0","59","1"
"9100","","0","60","1"
"9150","","0","61","1"
"9200","","S","S","0"
"9250","","0","62","1"
"9300","","0","63","1"
"9350","000","0","64","1"
"9400","","0","65","1"
"9450","","0","66","1"
"9500","","S","S","0"
"9550","","0","67","1"
"9600","","0","68","1"
"9650","","0","69","1"
"9700","","0","70","1"
"9750","","0","71","1"
"9800","","S","S","0"
"9850","008","0","72","1"
"9900","","0","73","1"
"9950","","0","74","1"
"10000","","0","75","1"
"10050","","1","76","0"
"10100","","0","77","1"
"10150","","0","78","1"
"10200","","0","79","1"
"10250","000","0","80","1"
"10300","","0","81","1"
"10350","","S","S","0"
"10400","","0","82","1"
"10450","","0","83","1"
"10500","","0","84","1"
"10550","","0","85","1"
"10600","","0","86","1"
"10650","","S","S","0"
"10700","","0","87","1"
"10750","000","0","88","1"
"10800","","0","89","1"
"10850","","0","90","1"
"10900","","0","91","1"
"10950","","S","S","0"
"11000","","0","92","1"
"11050","","0","93","1"
"11100","","0","94","1"
"11150","","0","95","1"
"11200","À","1","96","0"
"11250","","1","97","0"
"11300","","0","98","1"
"11350","","0","99","1"
"11400","","0","100","1"
"11450","","0","101","1"
"11500","","0","102","1"
"11550","","S","S","0"
"11600","","0","103","1"
"11650","C:23302","1","104","0"
"11700","","0","105","1"
"11750","","1","106","0"
"11800","","1","107","0"
